no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
,NC2=O)N,,,,,,,,,,,,,,,,,
,C[C@@H](O)[C@@H]1[C@@H]2SC(=C(N2,C[C@@H](O)[C@H]1[C@@H]2SC(=C(N2C1=O)C([,,,,,,,,,,,,,,,,
309,,,0.21,0.26,5.1,4.28,0.9,1.08,0.9,0.62,0.68,-0.58,0.71,0.63,-0.05,0.03,-0.05,-0.21
,C1=O)C([O-])=O)S[C@H]3CC[S@@](=O)C3,O-])=O)S[C@H]3CC[S@](=O)C3,,,,,,,,,,,,,,,,
,C[N]1N=NN=C1SCC2=C(N3[C@H](SC2)[C@,C[N]1N=NN=C1SCC2=C(N3[C@@H](SC2)[C@H](N,,,,,,,,,,,,,,,,
310,H](NC(=O)C(=NOCC(O)=O)C4=N[NH]C=C4),C(=O)\C(=N\OCC([O-,0.22,0.22,1.83,1.49,1.33,1.51,,,0.66,-0.66,0.26,0.17,0.12,0.18,,
,C3=O)C(O)=O,])=O)C4=N[NH]C=C4)C3=O)C([O-])=O,,,,,,,,,,,,,,,,
,C[C@@H](OC1=CC(=CN=C1N)C2=C[N](N=,C[C@@H](OC1=C(N)N=CC(=C1)C2=C[N](N=C2)C3,,,,,,,,,,,,,,,,
311,,,22.15,17.60,9.75,7.90,38.9,24.93,0.09,0.06,1.35,1.25,0.99,0.90,1.59,1.40,-1.05,-1.24
,C2)C3CCNCC3)C4=C(Cl)C=CC(=C4Cl)F,CC[NH2+]CC3)C4=C(Cl)C(=CC=C4Cl)F,,,,,,,,,,,,,,,,
,COC1=CC2=C(C=C1OCCCCCCC(=O)NO)C(=,COC1=C(OCCCCCCC(=O)N[O-,,,,,,,,,,,,,,,,
312,,,0.56,0.69,11.99,7.08,5.01,6.35,,,0.25,-0.16,1.08,0.85,0.70,0.80,,
,NC=N2)NC3=CC=CC(=C3)C#C,])C=C2C(=NC=NC2=C1)NC3=CC(=CC=C3)C#C,,,,,,,,,,,,,,,,
313,NC#N,NC#N,0.78,0.62,17,12.98,0.43,0.69,,,0.11,-0.21,1.23,1.11,-0.37,-0.16,,
,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC,C[NH+]1CC[NH+](CC1)C(C2=CC=CC=C2)C3=CC=,,,,,,,,,,,,,,,,
314,,,16.5,13.10,14.5,11.80,13.53,11.52,,,1.22,1.12,1.16,1.07,1.13,1.06,,
,=C3,CC=C3,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=C1)[C@@H]2C=C(CO)[C,NC1=NC(=O)N(C=C1)[C@@H]2C=C(CO)[C@@H](,,,,,,,,,,,,,,,,
315,,,,,3.61,4.58,,,,,,,0.56,0.66,,,,
,@@H](O)[C@H]2O,O)[C@H]2O,,,,,,,,,,,,,,,,
316,ClCCN(CCCl)[P]1(=O)NCCCO1,ClCCN(CCCl)[P@@]1(=O)NCCCO1,0.73,0.85,1.1,1.41,8,4.77,0.87,0.80,0.14,-0.07,0.04,0.15,0.90,0.68,-0.06,-0.10
,CCC[C@H](NC1=NC(=NC=C1C)C2=CC(=C(,CCC[C@H](NC1=C(C)C=NC(=N1)C2=CC(=C(NC(=,,,,,,,,,,,,,,,,
317,,,3.41,2.71,22.2,10.54,2.9,4.50,,,0.53,0.43,1.35,1.02,0.46,0.65,,
,NC(=O)NCC)C=C2)OC)C3=CN=CC=C3,O)NCC)C=C2)OC)C3=CN=CC=C3,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@,,,,,,,,,,,,,,,,
318,,,0.67,0.78,41.67,16.79,0.17,0.54,0.87,0.86,0.17,-0.11,1.62,1.22,-0.77,-0.27,-0.06,-0.07
,)[C@@H](O)[C@@H]2O,H](O)[C@@H]2O,,,,,,,,,,,,,,,,
,C[N]1C(=NC2=CC(=CC=C12)C(=O)N(CCC(O,C[N]1C(=NC2=C1C=CC(=C2)C(=O)N(CCC([O-,,,,,,,,,,,,,,,,
319,)=O)C3=CC=CC=N3)CNC4=CC=C(C=C4)C(N,])=O)C3=NC=CC=C3)CNC4=CC=C(C=C4)C(N)=[NH,0.85,1.02,1.93,2.25,7.3,5.26,0.65,0.29,0.07,0.01,0.29,0.35,0.86,0.72,-0.19,-0.54
,)=N,2+],,,,,,,,,,,,,,,,
,CC(C)(C)C1=NC(=C(S1)C2=CC=NC(=N2)N)C,,,,,,,,,,,,,,,,,
,,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(F),,,,,,,,,,,,,,,,
320,3=CC=CC(=C3F)N[S](=O)(=O)C4=C(F)C=CC,,0.65,0.82,2.86,2.19,2.6,5.69,0.003,0.01,0.19,-0.09,0.46,0.34,0.41,0.75,-2.52,-2.29
,,C(=CC=C3)N[S](=O)(=O)C4=C(F)C=CC=C4F,,,,,,,,,,,,,,,,
,=C4F,,,,,,,,,,,,,,,,,
321,CN(C)N=NC1=C([NH]C=N1)C(N)=O,CN(C)N=NC1=C([NH]C=N1)C(N)=O,1.2,0.95,2.6,3.17,6.2,5.02,1,0.91,0.08,-0.02,0.41,0.50,0.79,0.70,0.00,-0.04
,OCCN(CCC1=C[NH]C2=CC=CC=C12)CC3=C,OCC[NH+](CCC1=C[NH]C2=C1C=CC=C2)CC3=CC,,,,,,,,,,,,,,,,
322,,,2.17,1.72,7.6,5.37,12.43,8.86,0.23,0.15,0.34,0.24,0.88,0.73,1.09,0.95,-0.64,-0.82
,C=C(C=CC(=O)NO)C=C3,=C(\C=C/C(=O)N[O-])C=C3,,,,,,,,,,,,,,,,
,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C2,,,,,,,,,,,,,,,,
,@H]1C2=NC=C([NH]2)C3=CC=C(C=C3)C4=,=NC=C([NH]2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5,,,,,,,,,,,,,,,,
323,,,0.67,0.84,1,1.58,13.5,10.64,0.01,0.01,0.17,-0.07,0.00,0.20,1.13,1.03,-2.00,-1.86
,CC=C(C=C4)C5=CN=C([NH]5)[C@@H]6CCC,=CN=C([NH]5)[C@@H]6CCCN6C(=O)[C@@H](NC,,,,,,,,,,,,,,,,
,N6C(=O)[C@@H](NC(=O)OC)C(C)C,(=O)OC)C(C)C,,,,,,,,,,,,,,,,
324,NC1=CC=NC=C1,NC1=CC=[NH+]C=C1,2.6,2.06,9.3,8.64,3.6,2.30,1,0.81,0.41,0.31,0.97,0.94,0.56,0.36,0.00,-0.09
325,,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@ CC[NH+](CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H],0.39,0.49,16,11.71,0.74,1.25,0.82,0.34,0.41,-0.31,1.20,1.07,-0.13,0.10,-0.09,-0.47
,H]1C(=O)O[C@@H](C(C)C)[C@H](C)C=CC(,1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC\C=,,,,,,,,,,,,,,,,
,=O)NCC=CC(=C[C@@H](O)CC(=O)CC3=NC,C\C(=C/[C@@H](O)CC(=O)CC3=NC(=CO3)C2=O)C,,,,,,,,,,,,,,,,
,(=CO3)C2=O)C,,,,,,,,,,,,,,,,,
,C[C@]12CC3=C(ON=C3)C=C1CC[C@@H]4[,,,,,,,,,,,,,,,,,
,,C[C@]12CC3=C(ON=C3)C=C1CC[C@@H]4[C@H]2,,,,,,,,,,,,,,,,
326,C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(,,5.18,4.11,15.71,8.60,2.31,3.48,,,0.71,0.61,1.20,0.93,0.36,0.54,,
,,CC[C@@]5(C)[C@@H]4CC[C@@]5(O)C#C,,,,,,,,,,,,,,,,
,O)C#C,,,,,,,,,,,,,,,,,
,CC(C)(C)OC(=O)N[C@H]1CCCCCC=C[C@@,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C\[C@@H]2C,,,,,,,,,,,,,,,,
,H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C,[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O,,,,,,,,,,,,,,,,
327,,,0.22,0.28,11.53,9.08,1.81,2.83,0.02,0.03,0.66,-0.56,1.06,0.96,0.26,0.45,-1.70,-1.51
,1=O)OC(=O)N4CC5=CC=CC(=C5C4)F)C(=O),)N4CC5=C(C4)C(=CC=C5)F)C(=O)N=[S]([O-,,,,,,,,,,,,,,,,
,N[S](=O)(=O)C6CC6,])(=O)C6CC6,,,,,,,,,,,,,,,,
,,[O-,,,,,,,,,,,,,,,,
,O=C1CN(N=CC2=CC=C(O2)C3=CC=C(C=C3,,,,,,,,,,,,,,,,,
328,,][N+](=O)C1=CC=C(C=C1)C2=CC=C(O2)\C=N\N3C,0.37,0.47,0.43,0.83,10,6.68,,,0.43,-0.33,-0.37,-0.08,1.00,0.82,,
,)[N](=O)=O)C(=O)N1,,,,,,,,,,,,,,,,,
,,C(=O)NC3=O,,,,,,,,,,,,,,,,
,CO[C@@H](C(=O)N1CC2=C(C1)C(=N[NH]2),CO[C@@H](C(=O)N1CC2=C(C1)C(=N[NH]2)NC(=O,,,,,,,,,,,,,,,,
329,NC(=O)C3=CC=C(C=C3)N4CCN(C)CC4)C5=,)C3=CC=C(C=C3)N4CC[NH+](C)CC4)C5=CC=CC=C,2.5,3.15,6.1,6.55,25,15.17,,,0.40,0.50,0.79,0.82,1.40,1.18,,
,CC=CC=C5,5,,,,,,,,,,,,,,,,
,CCOC1=CC=C(CC2=CC(=CC=C2Cl)C3O[C@,,,,,,,,,,,,,,,,,
,,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@H]3O[C@,,,,,,,,,,,,,,,,
330,H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C,,1.7,1.35,3,3.48,12.2,8.27,0.09,0.07,0.23,0.13,0.48,0.54,1.09,0.92,-1.05,-1.14
,,@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C1,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,
,NC1=CC=C(C=C1)[S](=O)(=O)C2=CC=C(N)C,,,,,,,,,,,,,,,,,
331,,NC1=CC=C(C=C1)[S](=O)(=O)C2=CC=C(N)C=C2,0.83,0.90,0.48,0.96,22,10.64,0.25,0.22,0.08,-0.04,-0.32,-0.02,1.34,1.03,-0.60,-0.65
,=C2,,,,,,,,,,,,,,,,,
,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(,CC[NH+](CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=,,,,,,,,,,,,,,,,
332,C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O),C2)C(F)(F)F)C(=O)CN3C(=NC(=O)C4=C3CCC4)SCC,11.9,9.44,4.11,4.34,40.9,32.60,,,1.08,0.98,0.61,0.64,1.61,1.51,,
,N=C3SCC5=CC=C(F)C=C5,5=CC=C(F)C=C5,,,,,,,,,,,,,,,,
,NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCC,NC(=O)C([C@@H]1CC[NH+](CCC2=CC3=C(OCC3),,,,,,,,,,,,,,,,
333,,,2.6,2.06,12,8.23,3.6,5.46,0.02,0.02,0.41,0.31,1.08,0.92,0.56,0.74,-1.70,-1.61
,C3=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5,C=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5,,,,,,,,,,,,,,,,
,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)N,,,,,,,,,,,,,,,,
334,=C1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@,C(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(,,,7.81,6.76,15,9.22,0.05,0.06,,,0.89,0.83,1.18,0.96,-1.30,-1.25
,H]23)[S](=O)(=O)C4=CC=C(N)C=C4,=O)C4=CC=C(N)C=C4,,,,,,,,,,,,,,,,
,COC1=C(C=C(C=C1C(C)(C)C)N2C=CC(=O)N,,,,,,,,,,,,,,,,,
,,COC1=C(C=C(C=C1C2=CC3=CC=C(N[S](C)(=O)=O),,,,,,,,,,,,,,,,
335,C2=O)C3=CC=C4C=C(N[S](C)(=O)=O)C=CC,,2.13,1.69,,,5.7,6.79,0.005,0.01,0.33,0.23,,,0.76,0.83,-2.30,-2.05
,,C=C3C=C2)N4C=CC(=O)NC4=O)C(C)(C)C,,,,,,,,,,,,,,,,
,4=C3,,,,,,,,,,,,,,,,,
,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[,COC1=C2C(=O)C3=C(C(=C4C[C@@](O)(C[C@H](O,,,,,,,,,,,,,,,,
336,C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@,[C@H]5C[C@H]([NH3+])[C@H](O)[C@H](C)O5)C4,32.05,38.61,47.57,28.94,14.24,14.29,0.06,0.09,1.51,1.59,1.68,1.46,1.15,1.16,-1.22,-1.07
,H](C)O5)C(C)=O)C(=C3C(=O)C2=CC=C1)O,=C3O)C(C)=O)O)C(=O)C2=CC=C1,,,,,,,,,,,,,,,,
,CC(C)NC[C@@H](O)COC1=C(C)C(=C(O)C(=,CC(C)[NH2+]C[C@@H](O)COC1=C(C)C(=C(O)C(=,,,,,,,,,,,,,,,,
337,,,3.6,2.86,16.2,14.10,3.1,3.20,,,0.56,0.46,1.21,1.15,0.49,0.51,,
,C1)C)C,C1)C)C,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](,,,,,,,,,,,,,,,,
338,,,4.6,1.88,130,37.04,0.58,1.02,1,0.87,0.66,0.27,2.11,1.57,-0.24,0.01,0.00,-0.06
,@@H](CO)O2,CO)O2,,,,,,,,,,,,,,,,
,OC(=O)C1=CC=C(C=C1)[N]2N=C(N=C2C3=,OC1=C(C=CC=C1)C2=N[N](C3=CC=C(C=C3)C([O-,,,,,,,,,,,,,,,,
339,,,0.2,0.17,0.84,0.79,4.05,4.28,0.004,0.01,0.70,-0.76,-0.08,-0.10,0.61,0.63,-2.40,-2.25
,CC=CC=C3O)C4=CC=CC=C4O,])=O)C(=N2)C4=C(O)C=CC=C4,,,,,,,,,,,,,,,,
,C[C@@]1(COC(=O)CCC(O)=O)[C@@H](CC[,C[C@@]1(COC(=O)CCC([O-,,,,,,,,,,,,,,,,
340,C@]2(C)[C@@H]1CCC(=C)[C@H]2C=CC3=,])=O)[C@@H](CC[C@]2(C)[C@@H]1CCC(=C)[C@,0.13,0.16,2,2.43,1.9,2.30,,,0.89,-0.79,0.30,0.39,0.28,0.36,,
,CCOC3=O)OC(=O)CCC(O)=O,H]2\C=C\C3=CCOC3=O)OC(=O)CCC([O-])=O,,,,,,,,,,,,,,,,
,NC1=NC(=C(F)C=C1F)N2C=C(C(O)=O)C(=O,NC1=C(F)C=C(F)C(=N1)N2C=C(C([O-,,,,,,,,,,,,,,,,
341,,,0.35,0.44,2.33,2.24,2.1,3.19,0.16,0.10,0.46,-0.36,0.37,0.35,0.32,0.50,-0.80,-0.99
,)C3=CC(=C(N4CC(O)C4)C(=C23)Cl)F,])=O)C(=O)C3=C2C(=C(N4CC(O)C4)C(=C3)F)Cl,,,,,,,,,,,,,,,,
,ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3C,ClC1=CC2=C(NC(=O)CN=C2C3=C(Cl)C=CC=C3)C=,,,,,,,,,,,,,,,,
342,,,2.2,2.20,0.17,0.19,200,72.05,0.051,0.03,0.34,0.34,-0.77,-0.72,2.30,1.86,-1.29,-1.52
,l)C2=C1,C1,,,,,,,,,,,,,,,,
,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](,C[NH+](C)[C@H]1[C@@H]2C[C@@H]3[C@H](O),,,,,,,,,,,,,,,,
343,O)C4=C(Cl)C=CC(=C4C(=O)C3=C(O)[C@]2(,C4=C(C(=CC=C4Cl)O)C(=O)C3=C([O-,1.3,0.90,1.1,1.28,12,8.99,0.59,0.21,0.11,-0.05,0.04,0.11,1.08,0.95,-0.23,-0.68
,O)C(=O)C(=C1O)C(N)=O)O,])[C@]2(O)C(=O)C(=C1[O-])C(N)=O,,,,,,,,,,,,,,,,
,CCC(CC)COC(C(=O)OCCN(C)C)(C1=CC=CC,CCC(CC)COC(C(=O)OCC[NH+](C)C)(C1=CC=CC=C,,,,,,,,,,,,,,,,
344,,,7.1,5.64,5.7,6.13,34,21.42,,,0.85,0.75,0.76,0.79,1.53,1.33,,
,=C1)C2=CC=CC=C2,1)C2=CC=CC=C2,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=C1F)[C@H]2C[C@H](O)[C,NC1=NC(=O)N(C=C1F)[C@H]2C[C@H](O)[C@H](C,,,,,,,,,,,,,,,,
345,,,0.91,1.67,5.09,6.99,0.78,1.10,,,0.04,0.22,0.71,0.84,-0.11,0.04,,
,@@H](CO)O2,O)O2,,,,,,,,,,,,,,,,
,CN(C)CCO[C@@]1(C[C@H]2CC[C@]1(C)C2,C[NH+](C)CCO[C@@]1(C[C@H]2CC[C@]1(C)C2(C,,,,,,,,,,,,,,,,
346,,,7.7,6.12,4.88,7.71,26.6,15.35,0.05,0.06,0.89,0.79,0.69,0.89,1.42,1.19,-1.30,-1.19
,(C)C)C3=CC=CC=C3,)C)C3=CC=CC=C3,,,,,,,,,,,,,,,,
,COC(=O)O[C@@]12CO[C@@H]1C[C@H](O,,,,,,,,,,,,,,,,,
,,COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@,,,,,,,,,,,,,,,,
,)[C@]3(C)[C@@H]2[C@H](OC(=O)C4=CC=,,,,,,,,,,,,,,,,,
,,]3(C)[C@@H]2[C@H](OC(=O)C4=CC=CC=C4)[C@,,,,,,,,,,,,,,,,
,CC=C4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[,,,,,,,,,,,,,,,,,
347,,@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O),6.9,5.48,8.6,6.35,31,20.16,,,0.84,0.74,0.93,0.80,1.49,1.30,,
,C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC,,,,,,,,,,,,,,,,,
,,C6=CC=CC=C6)C7=CC=CC=C7)C(=C([C@@H](OC(,,,,,,,,,,,,,,,,
,=C7)C(=C([C@@H](OC(C)=O)C3=O)C5(C)C),,,,,,,,,,,,,,,,,
,,C)=O)C3=O)C5(C)C)C,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,
,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CC,CC(=O)N([O-])CCCCCNC(=O)CCC(=O)N([O-,,,,,,,,,,,,,,,,
348,,,1.35,1.07,8.33,6.22,3.05,2.97,,,0.13,0.03,0.92,0.79,0.48,0.47,,
,CCCNC(=O)CCC(=O)N(O)CCCCCN,])CCCCCNC(=O)CCC(=O)N([O-])CCCCC[NH3+],,,,,,,,,,,,,,,,
,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C1,C[NH2+]CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C,,,,,,,,,,,,,,,,
349,,,15,7.23,11,10.44,22,20.05,0.16,0.19,1.18,0.86,1.04,1.02,1.34,1.30,-0.80,-0.72
,3,2,,,,,,,,,,,,,,,,
,ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3),,,,,,,,,,,,,,,,,
350,,ClC1=CC2=C(NC(=O)CN=C2C3=CC=CC=C3)C=C1,0.45,1.54,0.12,0.20,46,30.12,0.03,0.04,0.35,0.19,-0.92,-0.70,1.66,1.48,-1.52,-1.37
,C2=C1,,,,,,,,,,,,,,,,,
,CN(C)C[C@H](C1=CC=C(O)C=C1)C2(O)CC,C[NH+](C)C[C@H](C1=CC=C(O)C=C1)C2(O)CCCC,,,,,,,,,,,,,,,,
351,,,3.5,3.09,4.9,6.82,8.4,6.61,0.7,0.64,0.54,0.49,0.69,0.83,0.92,0.82,-0.15,-0.19
,CCC2,C2,,,,,,,,,,,,,,,,
,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O,C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[,,,,,,,,,,,,,,,,
352,)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@],C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1,0.94,0.86,3.3,4.03,3.7,4.01,0.32,0.24,0.03,-0.07,0.52,0.61,0.57,0.60,-0.49,-0.62
,2(C)[C@@]1(O)C(=O)CO,(O)C(=O)CO,,,,,,,,,,,,,,,,
,CCCCCCC(C)(C)C1=CC(=C2[C@H]3CC(=CC,CCCCCCC(C)(C)C1=CC2=C([C@H]3CC(=CC[C@@,,,,,,,,,,,,,,,,
353,,,5.06,4.02,21.38,11.66,7.33,9.97,,,0.70,0.60,1.33,1.07,0.87,1.00,,
,[C@@H]3C(C)(C)OC2=C1)CO)O,H]3C(C)(C)O2)CO)C(=C1)O,,,,,,,,,,,,,,,,
354,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,CC[NH2+][C@@H](C)CC1=CC(=CC=C1)C(F)(F)F,11,8.74,11,8.21,14,8.94,0.66,0.45,1.04,0.94,1.04,0.91,1.15,0.95,-0.18,-0.35
,CCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O,CCCCCN(CCCOC)C(=O)[C@@H](CCC([O-,,,,,,,,,,,,,,,,
355,,,0.18,0.31,3.7,3.11,1.2,2.02,0.024,0.05,0.74,-0.51,0.57,0.49,0.08,0.31,-1.62,-1.35
,)NC(=O)C1=CC=C(Cl)C(=C1)Cl,])=O)NC(=O)C1=CC(=C(Cl)C=C1)Cl,,,,,,,,,,,,,,,,
,C[C@H](C1=C[NH]C=N1)C2=CC=CC(=C2C),,,,,,,,,,,,,,,,,
356,,C[C@H](C1=C[NH]C=N1)C2=C(C)C(=CC=C2)C,1.6,1.72,11,7.68,2.2,3.52,0.06,0.07,0.20,0.24,1.04,0.89,0.34,0.55,-1.22,-1.16
,C,,,,,,,,,,,,,,,,,
,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=,COC(=O)[C@@H]([C@H]1CCCC[NH2+]1)C2=CC=,,,,,,,,,,,,,,,,
357,,,2.65,2.64,6.67,5.49,8,6.20,0.87,0.70,0.42,0.42,0.82,0.74,0.90,0.79,-0.06,-0.15
,CC=C2,CC=C2,,,,,,,,,,,,,,,,
,,COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC(=CC=C2,,,,,,,,,,,,,,,,
,COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC=,,,,,,,,,,,,,,,,,
,,)[N+]([O-,,,,,,,,,,,,,,,,
358,CC(=C2)[N](=O)=O)C(=O)OCCCN3CCC(CC3,,8.4,6.67,9.3,8.67,22,14.91,,,0.92,0.82,0.97,0.94,1.34,1.17,,
,,])=O)C(=O)OCCC[NH+]3CCC(CC3)(C4=CC=CC=C4,,,,,,,,,,,,,,,,
,)(C4=CC=CC=C4)C5=CC=CC=C5)C,,,,,,,,,,,,,,,,,
,,)C5=CC=CC=C5)C,,,,,,,,,,,,,,,,
,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O),C[C@@H](C[NH+]1CC(=O)NC(=O)C1)[NH+]2CC(=,,,,,,,,,,,,,,,,
359,,,0.55,0.69,3.1,3.52,2.5,2.90,1,0.85,0.26,-0.16,0.49,0.55,0.40,0.46,0.00,-0.07
,NC(=O)C2,O)NC(=O)C2,,,,,,,,,,,,,,,,
,C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(C,C[C@H](C[NH+]1CCOCC1)C(C(=O)N2CCCC2)(C3=,,,,,,,,,,,,,,,,
360,,,0.47,0.59,2.19,3.47,3.18,4.46,,,0.33,-0.23,0.34,0.54,0.50,0.65,,
,3=CC=CC=C3)C4=CC=CC=C4,CC=CC=C3)C4=CC=CC=C4,,,,,,,,,,,,,,,,
,C[C@@]12CCCCC[C@@H](CC3=C1C=C(O),C[C@]12CCCCC[C@@H](CC3=C1C=C(O)C=C3)[C,,,,,,,,,,,,,,,,
361,,,5.6,4.45,27.5,22.56,3.9,5.64,0.08,0.15,0.75,0.65,1.44,1.35,0.59,0.75,-1.10,-0.84
,C=C3)[C@@H]2N,@@H]2[NH3+],,,,,,,,,,,,,,,,
,CC(=O)NC1=C(I)C(=C(I)C(=C1I)C(O)=O)NC(,CC(=O)NC1=C(I)C(=C(I)C(=C1I)NC(C)=O)C([O-,,,,,,,,,,,,,,,,
362,,,0.26,0.32,1.7,1.70,1.8,2.03,1,0.31,0.59,-0.49,0.23,0.23,0.26,0.31,0.00,-0.51
,C)=O,])=O,,,,,,,,,,,,,,,,
,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC(=C,CN1C(=O)CN=C(C2=CC=CC=C2)C3=C1C=CC(=C3),,,,,,,,,,,,,,,,
363,,,1,1.22,0.38,0.57,42,20.31,0.023,0.03,0.00,0.09,-0.42,-0.24,1.62,1.31,-1.64,-1.46
,C=C13)Cl,Cl,,,,,,,,,,,,,,,,
364,CC1=N[S](=O)(=O)C2=CC(=CC=C2N1)Cl,CC1=N[S](=O)(=O)C2=C(N1)C=CC(=C2)Cl,0.21,0.26,0.06,0.25,48,20.99,0.06,0.09,0.68,-0.58,-1.22,-0.60,1.68,1.32,-1.22,-1.06
,NC[C@@H]1CC[C@@H](N)[C@H](O1)O[C,[NH3+]C[C@@H]1CC[C@@H]([NH3+])[C@H](O1),,,,,,,,,,,,,,,,
,@@H]2[C@@H](N)C[C@@H](N)[C@H](O[,O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C,,,,,,,,,,,,,,,,
365,,,0.13,0.16,0.8,0.95,2.4,2.57,,,0.89,-0.79,-0.10,-0.02,0.38,0.41,,
,C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C,@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([N,,,,,,,,,,,,,,,,
,@H]3O)[C@H]2O,H3+])[C@H]3O)[C@H]2O,,,,,,,,,,,,,,,,
366,OC(=O)C(Cl)Cl,[O-]C(=O)C(Cl)Cl,0.19,0.24,5.3,3.78,0.65,1.06,,,0.72,-0.62,0.72,0.58,-0.19,0.03,,
,OC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C,,,,,,,,,,,,,,,,,
367,,[O-]C(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,0.22,0.25,3.5,2.00,1.4,2.34,0.005,0.01,0.66,-0.60,0.54,0.30,0.15,0.37,-2.30,-2.20
,2Cl,,,,,,,,,,,,,,,,,
,CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@,,,,,,,,,,,,,,,,,
,,CC1=C(C(=O)N[C@H]2[C@@H]3SC(C)(C)[C@@H],,,,,,,,,,,,,,,,
368,@H](N3C2=O)C(O)=O)C(=NO1)C4=C(Cl)C=,,0.11,0.26,2,2.19,0.88,1.06,0.033,0.04,0.96,-0.58,0.30,0.34,-0.06,0.02,-1.48,-1.43
,,(N3C2=O)C([O-])=O)C(=NO1)C4=C(Cl)C=CC=C4Cl,,,,,,,,,,,,,,,,
,CC=C4Cl,,,,,,,,,,,,,,,,,
,OC[C@@H]1CC[C@@H](O1)[N]2C=NC3=C2,OC[C@@H]1CC[C@@H](O1)[N]2C=NC3=C2N=CN,,,,,,,,,,,,,,,,
